"","X","faceRectangle.top","faceRectangle.left","faceRectangle.width","faceRectangle.height","faceAttributes.glasses","faceAttributes.blur.blurLevel","faceAttributes.blur.value","faceAttributes.headPose.roll","faceAttributes.headPose.yaw","faceAttributes.emotion.contempt","faceAttributes.emotion.surprise","faceAttributes.emotion.happiness","faceAttributes.emotion.neutral","faceAttributes.emotion.sadness","faceAttributes.emotion.disgust","faceAttributes.emotion.anger","faceAttributes.emotion.fear","faceAttributes.occlusion.eyeOccluded","faceAttributes.occlusion.mouthOccluded","faceAttributes.occlusion.foreheadOccluded","faceAttributes.noise.noiseLevel","faceAttributes.noise.value","faceLandmarks.pupilLeft.x","faceLandmarks.pupilLeft.y","faceLandmarks.eyebrowLeftInner.x","faceLandmarks.eyebrowLeftInner.y","faceLandmarks.eyeLeftOuter.x","faceLandmarks.eyeLeftOuter.y","faceLandmarks.eyeLeftBottom.x","faceLandmarks.eyeLeftBottom.y","faceLandmarks.eyeRightOuter.x","faceLandmarks.eyeRightOuter.y","faceLandmarks.mouthRight.x","faceLandmarks.mouthRight.y","faceLandmarks.eyebrowRightOuter.x","faceLandmarks.eyebrowRightOuter.y","faceLandmarks.noseTip.x","faceLandmarks.noseTip.y","faceLandmarks.pupilRight.x","faceLandmarks.pupilRight.y","faceLandmarks.noseRootRight.x","faceLandmarks.noseRootRight.y","faceLandmarks.noseRightAlarTop.x","faceLandmarks.noseRightAlarTop.y","faceLandmarks.eyeRightTop.x","faceLandmarks.eyeRightTop.y","faceLandmarks.eyeRightBottom.x","faceLandmarks.eyeRightBottom.y","faceLandmarks.noseRootLeft.x","faceLandmarks.noseRootLeft.y","faceLandmarks.mouthLeft.x","faceLandmarks.mouthLeft.y","faceLandmarks.underLipTop.x","faceLandmarks.underLipTop.y","faceLandmarks.eyebrowRightInner.x","faceLandmarks.eyebrowRightInner.y","faceLandmarks.noseLeftAlarTop.x","faceLandmarks.noseLeftAlarTop.y","faceLandmarks.upperLipTop.x","faceLandmarks.upperLipTop.y","faceLandmarks.eyeLeftInner.x","faceLandmarks.eyeLeftInner.y","faceLandmarks.upperLipBottom.x","faceLandmarks.upperLipBottom.y","faceLandmarks.eyeRightInner.x","faceLandmarks.eyeRightInner.y","faceLandmarks.underLipBottom.x","faceLandmarks.underLipBottom.y","faceLandmarks.noseLeftAlarOutTip.x","faceLandmarks.noseLeftAlarOutTip.y","faceLandmarks.eyebrowLeftOuter.x","faceLandmarks.eyebrowLeftOuter.y","faceLandmarks.eyeLeftTop.x","faceLandmarks.eyeLeftTop.y","faceLandmarks.noseRightAlarOutTip.x","faceLandmarks.noseRightAlarOutTip.y","black","blond","brown","gray","other","red","impression","glasses","blurLevel","eyeOccluded","mouthOccluded","foreheadOccluded","noiseLevel"
"899",899,76,216,97,97,"NoGlasses","low",0,0.9,-8.3,0.006,0.009,0.422,0.402,0.022,0.003,0.132,0.002,FALSE,FALSE,FALSE,"low",0.03,242.3,102.3,256.8,95.3,235.9,102.5,242.3,105.8,296.7,103.1,284.5,148.1,310.8,91.1,264,128.8,285.8,101.6,271.5,104.4,274.5,121.3,289.8,99.9,289,105.6,258.2,104.5,247.4,147.1,263.4,149,270.6,93.9,255.1,121.2,264,143.2,250.1,103.7,263.8,147.9,282.1,102.3,263.4,155.8,249.5,130,227.1,91.6,243.7,100.7,280.4,130.6,0.89,0.02,1,0.02,0.84,0.07,0,0,1,0,0,0,1
"357",357,84,68,101,101,"NoGlasses","low",0,0.5,-4.4,0,0.001,0.571,0.393,0.034,0,0,0,FALSE,FALSE,FALSE,"low",0,97.4,111.1,108.5,101.5,89,111.8,95.6,114.9,148.3,113.3,142.2,156.8,159.2,103,116.2,138.2,140.8,111.8,123.6,115.1,126.7,131.5,140.8,109.2,141,115.7,111.6,114.6,97.3,157,118.5,166.3,128.3,101.1,107.8,131.6,117.3,153.6,103,113.1,117.6,157.9,133.3,113.2,118.3,172.9,103.5,140,79.5,102.1,96,108.4,130.8,139.6,1,0.03,0.18,0.05,0.73,0.17,1,0,1,0,0,0,1
"386",386,380,290,482,482,"NoGlasses","low",0,4.1,-2.1,0,0.001,0.179,0.791,0.027,0.001,0.001,0,FALSE,FALSE,FALSE,"low",0,427.4,507.4,482.9,457.6,387.8,511.2,422,525.1,687.4,524.9,635.5,727.4,744.3,486.1,517.8,656.9,652.8,519.2,563.4,529.3,568.9,615.1,651.1,506.8,650.4,537.7,504.5,526.3,418.9,716.3,515.4,773.4,599.5,460.6,480,607.1,517.3,722.6,458.5,520,518.6,734.7,614.7,527.3,514.4,793.7,455.3,643.5,350.6,467.7,425.2,495.6,588.2,653.2,0.96,0.03,1,0.08,0.36,0.03,1,0,1,0,0,0,1
"1088",1088,87,336,187,187,"ReadingGlasses","medium",0.36,0.4,3.4,0.013,0.004,0,0.529,0.001,0.012,0.44,0,FALSE,FALSE,FALSE,"medium",0.66,384.4,138.3,415.5,125.4,375.3,139.8,389.1,143.4,487.5,140.9,464.1,229.3,505.8,130.2,434.7,182.8,469.1,138.7,443.1,143,450.6,169,474.9,135.5,473.2,144,423.2,143.3,395.6,225.6,432.3,227.5,449.5,128.2,412.9,170.2,433.3,217.9,403.4,138.4,432.8,224.7,459.1,139.4,430.1,236.2,404,182.8,357.6,126.3,389.2,133.7,461.2,185.3,0,0,0,0,0,0,0,1,2,0,0,0,2
"675",675,138,174,191,191,"ReadingGlasses","low",0,5.1,-22.7,0,0,0.991,0.009,0,0,0,0,FALSE,FALSE,FALSE,"low",0.29,230.1,186.5,253.6,166.2,217.2,186.4,232.2,190.8,329.7,197.2,313.3,280.7,358,182.9,257.9,241.9,313.1,194.3,284.9,194.8,288,225.7,316.5,190.7,315.6,198.4,256.6,193.6,231.1,274.2,263.6,283.4,286.6,169.5,249.8,221.5,264.9,272.5,246.7,189.7,264.1,280.8,300,194.9,263.4,296.6,237,240.3,201.2,164.9,232.5,181.9,299.2,245.2,0.19,0.94,0.8,0.85,0.15,0.07,1,1,1,0,0,0,1
"261",261,85,44,65,65,"NoGlasses","low",0,-3.4,-0.2,0.001,0.001,0.805,0.159,0.02,0.002,0.01,0.001,FALSE,FALSE,FALSE,"low",0.08,61,103.7,69.7,99.2,56.2,105.1,61.2,105.4,94.4,101.9,91.9,130.1,101.2,97.3,75.8,120.3,89.3,101.5,79.2,103.5,82,114.6,90,99.8,90.1,102.8,70.7,104.1,62.8,132.6,76.6,137.1,81.7,98,69.6,115.2,75.9,128.8,65.5,103.7,76.2,131.2,85.8,102.5,77.2,140.6,66.4,119.9,49.7,101.8,60.3,102.1,85.7,118.7,0.68,0.1,1,0.12,0.21,0.26,1,0,1,0,0,0,1
"1112",1112,65,219,184,184,"NoGlasses","medium",0.48,1.3,-2.3,0,0,0,0.787,0.213,0,0,0,FALSE,FALSE,FALSE,"medium",0.32,275.9,110.5,294.8,87.8,264,112.7,275,115.2,358.5,114.7,340.3,207.9,376.3,101.8,313.9,161.1,348.9,113.8,324.2,114.1,330.1,144.2,348.7,111.1,349.1,117.7,303.7,113.3,278.1,204,310.7,206.4,333.9,89.7,298,144.1,310.7,194.9,284.5,110.8,311.1,202.9,339.5,113,310.5,216.5,287.8,164.4,246,97.9,274.2,108.3,339.5,165.2,0,0,0,0,0,0,0,0,2,0,0,0,2
"1518",1518,222,92,329,329,"NoGlasses","low",0.05,-1.5,-1.3,0.007,0.013,0.522,0.382,0.029,0.006,0.015,0.026,FALSE,FALSE,FALSE,"low",0,190,311.2,212.5,275,164.7,316,187.3,323.5,340.9,314.4,328,463.1,369.8,291.9,255.2,395.9,324.6,311.3,271.9,318.6,286.1,371.7,320.9,303.1,321.9,321.3,235.8,317.8,187.6,468.8,257.8,467.2,283.3,277,223.1,370.1,258.6,456.4,209.2,315.7,258.1,468.2,300.8,314.9,258.5,483.9,210.3,397.8,130.5,298.5,187.6,305.3,302.2,398.3,0.84,0.1,1,0.19,0.14,0.13,0,0,1,0,0,0,1
"1285",1285,192,67,189,189,"NoGlasses","low",0.07,-5.8,-2.7,0.004,0.004,0.048,0.86,0.065,0.002,0.008,0.01,FALSE,FALSE,FALSE,"medium",0.4,118.7,244.1,135.2,235.6,104.3,246.9,116.5,251.3,209.9,234.4,196.8,327,230,222.4,160.5,298.3,200.1,235,167.9,243.5,175.9,278.9,196.3,231.9,199.5,241.6,146.3,246.2,131.9,335.9,165.3,334.4,170,231.4,142.6,281.7,164,324.7,128.2,245.4,165.3,331.4,185.3,239.2,167,344.2,137.6,295.3,84,240.2,114.9,241,185.3,293,1,0.03,0.78,0.08,0.38,0.13,0,0,1,0,0,0,2
"913",913,118,151,178,178,"NoGlasses","low",0,-0.7,0.7,0.016,0.05,0.001,0.53,0.02,0.106,0.275,0.003,FALSE,FALSE,FALSE,"low",0,201.4,162.5,222.6,148.2,191.2,160.8,202,165.1,285.6,163.2,273.4,249.3,303.5,142.1,242.8,218.1,272.6,161.4,251.7,167.8,258.4,196.5,274.1,157.7,274.3,167,229,166.2,209,250.9,241.6,259.6,261.9,147.3,223.4,197.6,240,248.6,213.7,162.5,240.9,253.9,262.7,164.2,242.5,268.2,214.8,216.4,176.3,141.7,202.2,157.4,266.4,211.4,0.18,0.73,0.28,0.98,0.21,0.21,0,0,1,0,0,0,1
"827",827,49,300,213,213,"NoGlasses","high",0.76,-6.1,-8.8,0,0.027,0.165,0.721,0.005,0.001,0.08,0,FALSE,FALSE,FALSE,"medium",0.41,356,115.8,378.5,89.4,344,119.7,357.9,118.7,464.7,106.2,468.3,196,488.6,84.8,401.8,164.4,448.6,105.2,411.3,113.3,424,143.4,450.9,101.5,448.1,107.7,380.8,116.5,361.9,206.7,412.4,219.2,418.6,82.4,376.9,149.9,409.2,192.7,370.7,116.6,409.8,200.8,434.1,106.2,413.3,231,366.3,168.2,318.2,104.2,357.2,114,444.9,159.9,1,0.06,0.97,0.03,0.25,0.13,1,0,3,0,0,0,2
"488",488,105,84,141,141,"NoGlasses","low",0.12,-1.4,4.6,0,0,0.98,0.02,0,0,0,0,FALSE,FALSE,FALSE,"medium",0.6,121.6,143.9,136.9,130.2,111.7,144.6,121.5,149.6,194.9,143.2,187.5,204.4,208.4,126.2,157.8,186.7,183.6,143.2,162.6,146.2,169.4,170.4,183.6,139.9,184.8,148,143.6,146.1,121.4,206,156.2,215.2,171.6,130.5,141.3,172.1,155.8,205.1,132.2,145.9,155.6,209.4,173.4,145.6,155.8,222,134.6,183.6,99.3,126.7,121.5,139.8,177.1,181.9,0,0,0,0,0,0,1,0,1,0,0,0,2
"672",672,96,186,94,94,"NoGlasses","low",0,0.2,-22.7,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"low",0.17,212.6,120.2,218.4,110,203,119.8,209.3,124.2,259.9,121.4,255,163.9,271.5,112.1,226,149.8,253.9,121.3,237.1,124.1,239.5,141.1,252.2,117.5,252.7,125,223.8,123.6,216.2,164.2,231.5,172.3,237.6,109.5,220.2,140.9,230.7,160.1,217,122.5,230.9,165,244.9,122.8,231.3,178.3,216.4,149.8,195.3,107.4,210.7,116.9,244.3,149.9,0.64,0.13,0.22,0.1,0.64,0.98,1,0,1,0,0,0,1
"742",742,223,353,269,269,"NoGlasses","low",0.19,-4.3,-4,0.01,0.032,0.208,0.455,0.02,0.014,0.259,0.001,FALSE,FALSE,FALSE,"low",0.3,429.1,297.5,456,267.7,414.8,303.1,430.6,305.3,553.2,291.6,547.8,417.2,582.4,264.9,488.1,371.2,538.1,289.5,500.6,299.7,514.1,343.3,537.2,283.9,538.8,297,469.3,302.3,437,425.8,493.7,433.6,507.4,261.8,458.7,345,490.6,406.1,445.9,301.7,492.7,415.9,523.3,293.9,495,446.3,445.9,369.5,383.3,285.3,430.7,293.8,531.9,363.9,1,0.07,0.78,0.08,0.26,0.09,1,0,1,0,0,0,1
"268",268,122,27,183,183,"NoGlasses","low",0.1,-13.6,-14.8,0,0,0.2,0.78,0.019,0,0,0,FALSE,FALSE,FALSE,"low",0.25,73.1,180.4,87.2,165.2,65.5,185.7,75.2,184.6,155.5,164.4,169,245.4,170.3,146.3,112.8,218.7,145.1,164.4,115.1,172.5,129.1,202.3,142.6,160.8,144.1,168.3,96.5,177.1,95.1,266.9,128.5,260.6,115.5,156.5,98.4,208,126.3,249.2,84.4,179.3,128.1,255.6,134,168.3,130.6,268.6,95.3,224.4,44.4,171.4,73.1,177.2,141,214.7,0.8,0.04,1,0.09,0.15,0.11,1,0,1,0,0,0,1
"784",784,82,156,127,127,"NoGlasses","low",0.04,7.6,7.6,0,0.001,0.012,0.77,0.213,0,0.003,0.001,FALSE,FALSE,FALSE,"low",0,195.8,110.6,213.9,103.1,186.2,111.2,194.4,116.3,259.3,122.5,241.5,176.1,275.9,112.4,221.3,157,249.2,119.5,232.1,122.8,232.7,145.5,252,115.5,251.4,124.5,215.6,121.1,188.2,170.7,216.2,181,238.6,106.6,210.2,143.1,215.5,174.8,203.6,115.8,215,179.5,241.4,121.8,215.5,187.5,201.5,154.4,169.6,96.1,196.8,107.4,236.4,158.4,0.89,0.03,1,0.02,0.79,0.08,1,0,1,0,0,0,1
"1581",1581,133,112,207,207,"NoGlasses","medium",0.35,-1.4,-0.5,0.002,0.023,0.225,0.518,0.095,0.01,0.124,0.002,FALSE,FALSE,FALSE,"medium",0.37,171.1,185.3,192.4,156.6,159.7,186.8,170.5,190.3,264.6,188.9,253.8,289,288.2,165.8,221,242,253.2,187.5,228.2,188.7,239.2,227.2,253.4,182.3,254.2,193.3,202.7,188.6,178.6,290.4,218.8,294,234.7,158.5,197.8,228.9,219,281.6,181.7,187,219.5,289.9,241.7,188.9,218.9,302.9,187.6,249.4,135.5,161.1,170.7,180.3,249.5,247.6,0.99,0.06,0.73,0.51,0.21,0.1,0,0,2,0,0,0,2
"411",411,64,193,188,188,"NoGlasses","low",0,9.9,11.1,0.001,0.003,0.41,0.548,0.015,0.002,0.02,0.001,FALSE,FALSE,FALSE,"low",0,252,107.5,280.2,101.4,237.9,105.4,250.9,113.9,350.5,125.5,317,203.9,373,109.1,290.9,174.2,335.4,121.4,307.8,123.7,307.7,158.4,338.9,117.2,337.4,128,284.2,119.9,238.3,192.4,280.3,207.4,318.5,110.6,271.1,153,283.7,195.2,267.2,113.8,282.6,202.4,323.2,122.3,277.5,220,261,165.8,221.4,80.5,254.8,103.8,312.8,172.4,0.62,0.98,0.83,0.03,0.71,0.04,1,0,1,0,0,0,1
"314",314,87,158,179,179,"NoGlasses","low",0,-1.8,-4.2,0,0.001,0.196,0.717,0.039,0.001,0.045,0,FALSE,FALSE,FALSE,"medium",0.45,209.9,135.1,223.1,118.9,196.3,138.2,208.6,140.7,295.1,137.5,289.8,220.6,316.1,121.4,243,185.5,283.8,136.4,256.2,141.6,261.6,168.8,282.3,133.3,283.4,142.1,232.2,142,210.7,216.8,252.3,237.4,261.3,120.1,227.9,167.6,247.5,207.1,219.3,137.7,248.1,214.6,270.3,139.3,252.8,249.6,216.9,185.8,169.9,124.1,208.7,131.5,271.9,184.9,0.5,0.47,0.46,0.96,0.34,0.09,1,0,1,0,0,0,2
"421",421,84,114,61,61,"NoGlasses","low",0,18.2,9,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"low",0,136.5,97.9,144.5,95.3,130.2,97.1,134.4,99.1,164.5,109.2,151.8,132.8,171.6,105,146.1,114,161.5,107.2,152.1,105,151.3,113.2,161.4,105.8,160.3,108.7,144,102.5,125.9,124.1,138.8,132,155.8,99.2,139.6,110.2,140.7,126.8,138.9,99.7,140,128.8,156.4,106.5,137.4,135.5,133.7,113.9,122.2,91.2,135.5,96,152.8,119.7,0.61,0.18,1,0.01,0.44,0.18,1,0,1,0,0,0,1
"1320",1320,86,96,70,70,"NoGlasses","low",0.03,-6.4,2.8,0.005,0.055,0.164,0.188,0.051,0.047,0.473,0.016,FALSE,FALSE,FALSE,"low",0,113.9,106.6,120.8,101,108.7,107.7,113.6,109.5,150.3,103.2,144.4,137.6,155.5,95.6,131.2,120.6,145,103.1,133.8,106.5,136.7,116.3,144.2,101.3,145.2,105.7,124.9,107.2,121,139.7,132.7,138.8,136.1,99.3,124,117.2,132.1,133.8,118.3,107.5,132.6,136.9,140.2,104.6,133.1,142.9,121.4,123.5,101.4,103.1,113.4,105,140.3,122.8,0.87,0.24,1,0.02,0.12,0.06,0,0,1,0,0,0,1
"658",658,180,152,270,270,"NoGlasses","low",0.01,-1.7,-3.5,0,0,0,0.999,0,0,0,0,FALSE,FALSE,FALSE,"low",0,228,251.2,257.5,225.1,207.1,253.8,227.2,264,365.2,245.2,334.3,379.8,387.6,218.1,290.8,332.3,343.5,243.2,301.6,257.3,311.5,306.9,343.7,235,346.1,255.2,271.6,257.8,242.2,380.6,288.6,394.4,314.5,221.7,264.5,308.6,287.9,371.8,247.1,256.3,288.8,377.6,325.1,251.2,289.3,406.9,254.5,335.9,185.7,226.5,227.7,241.8,324,335.4,0.97,0.02,0.99,0.03,0.77,0.07,1,0,1,0,0,0,1
"1149",1149,308,193,465,465,"NoGlasses","low",0.1,0.3,8.8,0.013,0,0,0.883,0.056,0.002,0.046,0,FALSE,FALSE,FALSE,"low",0.18,317.3,432.7,390.1,384.4,285.9,435,322.3,441.6,559.4,439.7,502.6,663.2,604.4,394.8,444.9,539.4,525.9,438.5,455.3,433.9,475,509.9,528,427.1,526.6,444.1,397.5,433.5,335.8,654.4,430.6,644.7,469.6,387.7,391.4,510.4,427.9,628.7,356.4,433.1,426.2,645.6,494.6,434.7,427.4,664.7,372,554.6,233.8,378.7,320.6,420.2,491.2,555.3,0,0,0,0,0,0,0,0,1,0,0,0,1
"1296",1296,71,18,139,139,"ReadingGlasses","low",0,4,-5.9,0.002,0,0.821,0.142,0.036,0,0,0,FALSE,FALSE,FALSE,"low",0,56.2,108.4,72.3,94.1,47.3,107.8,54.6,110.7,130.3,115.2,118.2,174.3,150.1,103.9,82.8,142.8,121.3,113.4,95.8,113.2,100.3,135,122.1,109.8,121.1,116.2,77.8,111.4,56.6,169.2,84.4,175.8,104.8,95.4,70.9,133,84.4,166,64.2,110.4,84.4,171.2,111.9,113.5,83.5,182.9,65.1,143.8,35.9,97.4,55.8,104.2,105.8,148.4,0.74,0.04,1,0.16,0.52,0.1,0,1,1,0,0,0,1
"1558",1558,52,71,109,109,"ReadingGlasses","medium",0.49,-4.5,-11.9,0,0,0.088,0.672,0.24,0,0,0,FALSE,FALSE,FALSE,"low",0.09,103,83.7,108.3,73.3,94.8,85.7,101,86.4,152.7,79,149.1,131.6,163.9,64.3,122.2,109,147.8,78.5,128.6,83.4,132.4,99.6,145.9,76.6,146.8,81.5,116.9,84.9,106.5,135,126.4,134.3,132.7,71,113.4,100.9,124.4,127.9,107.9,83.8,125,131.9,140.3,80.4,127.6,141,109.8,111.3,81.8,73.3,100.3,81.8,139.2,109.3,0,0,0,0,0,0,0,1,2,0,0,0,1
"94",94,0,74,301,248,"NoGlasses","low",0,-0.4,2.1,0,0.008,0.017,0.154,0.806,0.002,0,0.012,FALSE,FALSE,FALSE,"medium",0.51,151.4,32.9,182.3,-4.9,122.6,35.7,149.9,43.1,316.5,33.7,294.8,158.8,356.5,-4.9,226.8,117.3,296.2,32.6,241.2,43,251.1,92,293.7,26.1,294.6,41.4,203.3,41.5,151.2,158.1,222.3,199.2,264.3,-5.5,198.5,94.2,222.1,153.2,175.4,37.8,221.9,165,270.2,37.6,221.1,216.3,183.1,117.8,81.4,-2.1,150.5,27.4,266.8,119.1,0.1,1,0.18,0.19,0.84,0.03,1,0,1,0,0,0,2
"493",493,112,80,148,148,"NoGlasses","low",0.07,3.5,-4.3,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"medium",0.35,120.7,151.6,138.9,141.9,111.2,153.1,121.5,155.8,198.6,158.6,188.1,222,218.8,148.5,151.8,194.3,189.3,156.6,167.2,158.9,171.1,184,188.7,153.2,188.5,160,144.6,157.3,119.2,213.8,150.9,230.8,175.1,141.5,139,180,153.2,214.8,132,155,152.3,218.9,176.9,158.5,149.5,238.8,129.1,188.6,95.9,141.7,122.3,147.9,179.1,196,0.26,0.99,0.27,0.68,0.49,0.05,1,0,1,0,0,0,2
"1062",1062,123,155,109,109,"NoGlasses","low",0.12,0.6,-1.8,0.001,0.003,0.188,0.761,0.042,0,0,0.005,FALSE,FALSE,FALSE,"low",0.17,187.2,153,200.9,142.8,180.2,154.2,187.9,156.6,240.3,155.3,233.1,204.6,251.1,146.7,209.6,178,233.1,154.6,216.3,155.4,219.2,169.5,232.4,151.9,233,157.6,201.7,155.3,185.8,203.6,209.5,213.1,218.7,143.2,198.5,170,209.9,196.2,195,154.3,209.5,201,225.8,155.8,209.5,218.8,192.7,181.3,168.9,146.5,187.6,151,226.1,179.8,0.18,0.76,0.71,0.94,0.19,0.14,0,0,1,0,0,0,1
"495",495,107,38,168,168,"NoGlasses","low",0.03,5.9,-22.6,0,0,1,0,0,0,0,0,FALSE,FALSE,TRUE,"low",0.17,89.6,150.8,106.3,133.1,79.3,150.7,90,153.3,177.3,159,160.2,233.8,201.1,148,108.6,192.8,163,156.6,135.1,155.6,134.7,178.9,164.9,155.6,164.1,158.8,111.3,153.9,88.9,227.3,116.5,241.9,144.2,136.2,102.1,174.9,117.4,217.2,102.2,153.6,116.5,224.5,152.5,155.9,114.7,251.9,90.6,191.5,65.2,138.6,90.3,149.4,144.2,197.8,0,0,0,0,0,0,1,0,1,0,0,1,1
"924",924,57,195,211,211,"NoGlasses","medium",0.27,-0.5,3.7,0.015,0.489,0.001,0.028,0.063,0.028,0.011,0.366,FALSE,FALSE,FALSE,"medium",0.39,253.3,112.9,280.7,89.2,236.9,115.4,253.1,120,364.3,110.1,336.3,213.9,381,87.3,303.5,170.7,346.2,109.9,312.4,116.8,321.4,153.8,346,101.9,348.4,117.4,290.2,117.5,266.2,216.2,299.7,230.8,326.4,87.2,283.5,154,301.3,202.7,268.6,115.1,301.5,210.7,331.9,114.3,299.7,242.2,274.3,177,227.7,92.7,253.9,104.3,329.1,174.7,0.88,0.09,1,0.02,0.34,0.13,0,0,2,0,0,0,2
"1231",1231,34,147,207,207,"NoGlasses","high",0.94,11.4,18.3,0.013,0.001,0.063,0.876,0.047,0.001,0,0,FALSE,FALSE,FALSE,"low",0,219.5,82.5,249.6,59.7,204.9,83.7,216.9,89.3,310.8,105.2,275.2,196.7,336.6,89,259.9,142.2,301.8,100.3,273.5,95.3,278.9,131,300,93,297.2,105.7,252.1,90.4,193.1,177.7,240.4,195.5,293.2,67.8,239.7,122.7,243.4,179.6,230.6,85.6,242.2,187.4,286.2,98.3,239.4,206.3,222.8,141.1,180.6,58.8,217.8,77.8,282.7,153.9,0,0,0,0,0,0,0,0,3,0,0,0,1
"1253",1253,122,95,149,149,"ReadingGlasses","low",0.1,1.4,-4.2,0.001,0.002,0.136,0.824,0.016,0.001,0.018,0.002,FALSE,FALSE,FALSE,"medium",0.58,138.5,160.7,157.6,150.9,126,161.5,135.9,168.2,212.3,165,197.9,235.1,228.7,158.2,167,200.3,203.2,163.9,175.7,167.2,181.8,188.1,201.6,158.5,201.5,169.2,159.3,166.7,140.4,230.3,167.8,244.3,179.8,149.8,155.5,188.8,167.2,222.2,146.7,163.8,167.1,228.3,190.7,164.2,167.3,253.5,146.8,201.9,109.3,153,136.8,155.9,190.2,203.9,1,0.03,0.77,0.2,0.2,0.1,0,1,1,0,0,0,2
"573",573,53,70,78,78,"NoGlasses","low",0.17,-11.3,-6.7,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"medium",0.47,90,80.9,96.7,67.9,83.9,82.8,89.6,83.2,129.2,70,130.4,104.9,138.7,59.6,107,95.9,123.8,70.9,111.8,76.1,115.6,87.8,123.1,69.8,124.3,73.1,100.6,78.7,94,113.6,110.9,114.6,109.6,64.8,99.2,91.5,108.9,106.3,95.5,80.5,109.8,110.4,117.9,73.9,111.7,119.9,96.2,98.9,70.5,78.2,89.4,79.6,120.7,93.9,0.99,0.2,0.87,0.04,0.42,0.21,1,0,1,0,0,0,2
"556",556,56,269,346,346,"NoGlasses","low",0.02,3.1,-4.3,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"low",0.25,367.2,147.7,406.7,121.5,350.1,145.6,371,155.8,550,154.6,521.2,307.2,588.3,138.7,437,258,523.2,152.8,474.5,158.3,482,222.2,525.5,144.4,524,161.3,425.8,156.9,364.3,297.7,433.3,342.4,477.8,124.4,408.1,216.2,437.7,296.2,392.3,149.8,438.3,307,497.8,154.3,432,357.5,387.2,239.9,310.8,119.9,371.2,141.2,496.1,250.5,0.94,0.05,0.98,0.69,0.4,0.01,1,0,1,0,0,0,1
"1308",1308,61,120,68,68,"NoGlasses","medium",0.3,-5.1,-11,0,0.001,0.099,0.892,0.004,0,0.003,0,FALSE,FALSE,FALSE,"low",0,138.6,80.3,143.5,74.1,132.9,81,137.9,82.9,172.9,76.8,167.2,110.6,179.3,69.4,152.2,98.2,168.6,76.7,155.5,79.7,158.2,91.1,167.3,74.9,168.2,79.7,146.2,80.8,143.2,112.2,153.9,112.4,155,72.4,146.3,92.5,153.4,108.7,142.7,80.7,153.7,111.6,162.3,78.3,154.5,117.4,144.4,99.1,123.7,77,137.4,78.4,162.6,97.9,0.84,0.03,1,0.02,0.73,0.07,0,0,2,0,0,0,1
"941",941,136,174,257,257,"NoGlasses","low",0,5.6,-9.9,0.007,0.003,0.716,0.083,0.001,0.023,0.166,0,FALSE,FALSE,FALSE,"medium",0.46,252.4,202.3,287.9,186.4,238.2,202.4,253.2,212.2,383.4,215.5,356.3,332.7,410.1,191.3,295.9,269.2,360.2,211.8,324.4,215.6,322.8,252.9,365.7,203.8,364,222.1,289.6,213.7,248.4,320.7,297.6,334.5,331.9,191,280.9,250.1,295.9,311.2,270.9,207,294.8,320,343.8,214.2,295.8,348.6,266.8,267.1,221.1,172.1,256,194.6,335.4,273.2,0.4,0.59,0.38,0.97,0.39,0.07,0,0,1,0,0,0,2
"1081",1081,63,85,92,92,"NoGlasses","low",0,1.2,-1.3,0.009,0.005,0.342,0.439,0.175,0.006,0.022,0.003,FALSE,FALSE,FALSE,"low",0.08,112.7,87.2,126.7,78.3,105.4,86.5,111.2,90.4,158.3,87.4,145.9,132.8,166.3,74.6,130.7,108.9,150.9,87.4,137.7,88.7,139.4,101.6,151,84.9,151.5,90.5,125.8,88.6,114.6,133.8,129.4,136.6,138.6,78.3,122.1,101.7,131.1,125.7,118.1,88.2,130.5,129.6,144.6,87.9,128.3,142.4,117.6,109.4,96.2,76.1,111.9,84.7,142.9,109.9,1,0.03,0.37,0.34,0.7,0.08,0,0,1,0,0,0,1
"882",882,52,198,53,53,"NoGlasses","low",0,1.2,-8.1,0,0.008,0.032,0.956,0.001,0,0.002,0.001,FALSE,FALSE,FALSE,"low",0,213.7,67.4,218.9,60,209.6,68.4,213.8,69.6,241.3,67.5,234,91.9,247.6,61.7,223.4,77.7,237.1,66.9,228.8,67.7,230,75.8,237.2,64.9,237,69,220.9,67.7,214.3,92.4,223.4,91.7,229.3,59.1,219.7,75.8,223.7,86.2,217.9,67.8,223.4,89.6,232.4,67.4,223.5,95.7,216.9,79.5,203.9,62.6,213.3,66,232,80.4,0.74,0.58,1,0.01,0.56,0.04,0,0,1,0,0,0,1
